Image, Current, Voltage, Xray150, Cabinet
0, 200, 150, 32, 25.2
1, 200, 150, 32, 25.2
2, 200, 150, 32, 25.2
3, 200, 150, 32, 25.2
4, 200, 150, 32, 25.2
5, 200, 150, 32, 25.2
6, 200, 150, 32, 25.2
7, 200, 150, 32, 25.2
8, 200, 150, 32, 25.2
9, 200, 150, 32, 25.2
10, 200, 150, 32, 25.2
11, 200, 150, 32, 25.2
12, 200, 150, 32, 25.2
13, 200, 150, 32, 25.2
14, 200, 150, 32, 25.1
15, 200, 150, 32, 25.1
16, 200, 150, 32, 25.1
17, 200, 150, 32, 25.1
18, 200, 150, 32, 25.1
19, 200, 150, 32, 25.1
20, 200, 150, 32, 25.1
21, 200, 150, 32, 25.1
22, 200, 150, 32, 25.1
23, 200, 150, 32, 25.1
24, 200, 150, 32, 25.1
25, 200, 150, 32, 25.1
26, 200, 150, 32, 25.1
27, 200, 150, 32, 25.1
28, 200, 150, 32, 25.1
29, 200, 150, 32, 25.2
30, 200, 150, 32, 25.2
31, 200, 150, 32, 25.2
32, 200, 150, 32, 25.2
33, 200, 150, 32, 25.2
34, 200, 150, 32, 25.2
35, 200, 150, 32, 25.2
36, 200, 150, 32, 25.2
37, 200, 150, 32, 25.2
38, 200, 150, 32, 25.2
39, 200, 150, 32, 25.2
40, 200, 150, 32, 25.2
41, 200, 150, 32, 25.2
42, 200, 150, 32, 25.2
43, 200, 150, 32, 25.2
44, 200, 150, 32, 25.1
45, 200, 150, 32, 25.1
46, 200, 150, 32, 25.1
47, 200, 150, 32, 25.1
48, 200, 150, 32, 25.1
49, 200, 150, 32, 25.1
50, 200, 150, 32, 25.1
51, 200, 150, 32, 25.1
52, 200, 150, 32, 25.1
53, 200, 150, 32, 25.1
54, 200, 150, 32, 25.1
55, 200, 150, 32, 25.1
56, 200, 150, 32, 25.1
57, 200, 150, 32, 25.1
58, 200, 150, 32, 25.1
59, 200, 150, 32, 25.1
60, 200, 150, 32, 25.1
61, 200, 150, 32, 25.1
62, 200, 150, 32, 25.1
63, 200, 150, 32, 25.1
64, 200, 150, 32, 25.1
65, 200, 150, 32, 25.1
66, 200, 150, 32, 25.1
67, 200, 150, 32, 25.1
68, 200, 150, 32, 25.1
69, 200, 150, 32, 25.1
70, 200, 150, 32, 25.1
71, 200, 150, 32, 25.1
72, 200, 150, 32, 25.1
73, 200, 150, 32, 25.1
74, 200, 150, 32, 25.1
75, 200, 150, 32, 25.1
76, 200, 150, 32, 25.1
77, 200, 150, 32, 25.1
78, 200, 150, 32, 25.1
79, 200, 150, 32, 25.1
80, 200, 150, 32, 25.1
81, 200, 150, 32, 25.1
82, 200, 150, 32, 25.1
83, 200, 150, 32, 25.1
84, 200, 150, 32, 25.1
85, 200, 150, 32, 25.1
86, 200, 150, 32, 25.1
87, 200, 150, 32, 25.1
88, 200, 150, 32, 25.1
89, 200, 150, 32, 25.1
90, 200, 150, 32, 25.1
91, 200, 150, 32, 25.1
92, 200, 150, 32, 25.1
93, 200, 150, 32, 25.1
94, 200, 150, 32, 25.1
95, 200, 150, 32, 25.1
96, 200, 150, 32, 25.1
97, 200, 150, 32, 25.1
98, 200, 150, 32, 25.1
99, 200, 150, 32, 25.1
100, 200, 150, 32, 25.1
101, 200, 150, 32, 25.1
102, 200, 150, 32, 25.1
103, 200, 150, 32, 25.1
104, 200, 150, 32, 25.1
105, 200, 150, 32, 25.1
106, 200, 150, 32, 25.1
107, 200, 150, 32, 25.1
108, 200, 150, 32, 25.1
109, 200, 150, 32, 25.1
110, 200, 150, 32, 25.1
111, 200, 150, 32, 25.1
112, 200, 150, 32, 25.1
113, 200, 150, 32, 25.1
114, 200, 150, 32, 25.1
115, 200, 150, 32, 25.1
116, 200, 150, 32, 25.1
117, 200, 150, 32, 25.1
118, 200, 150, 32, 25.1
119, 200, 150, 32, 25.1
120, 200, 150, 32, 25.1
121, 200, 150, 32, 25.1
122, 200, 150, 32, 25.1
123, 200, 150, 32, 25.1
124, 200, 150, 32, 25.1
125, 200, 150, 32, 25.1
126, 200, 150, 32, 25.1
127, 200, 150, 32, 25.1
